Medication,Common route(s),Typical adult dose / range,Typical frequency,Peds (Neonate 0–28d) dose; freq,Peds (Infant 1–12mo) dose; freq,Peds (Child 1–12y) dose; freq,Peds (Adolescent 12–18y) dose; freq,Renal adjustment (adult/peds),Hepatic adjustment (adult/peds),IV Fluid options,Standard rates (mL/h 10–200),Weight-based maintenance (adult),Peds maintenance (4-2-1 rule),Weight (kg) – enter to auto-calc,Adult maint mL/h @1.0 mL/kg/h,Adult maint mL/h @1.5 mL/kg/h,Adult maint mL/h @2.0 mL/kg/h,Peds 4-2-1 mL/h (auto),Sepsis bolus mL @30 mL/kg
Mannitol,IV,0.25–1 g/kg IV q6–8h PRN ICP,q6–8h PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O90), """", $O90*1.0)","=IF(ISBLANK($O90), """", $O90*1.5)","=IF(ISBLANK($O90), """", $O90*2.0)","=IF(ISBLANK($O90), """", 4*MIN(10,$O90) + 2*MAX(0,MIN(10,$O90-10)) + 1*MAX(0,$O90-20))","=IF(ISBLANK($O90), """", $O90*30)"
Nicardipine infusion,IV,2.5–15 mg/h titrated for BP,Continuous,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O91), """", $O91*1.0)","=IF(ISBLANK($O91), """", $O91*1.5)","=IF(ISBLANK($O91), """", $O91*2.0)","=IF(ISBLANK($O91), """", 4*MIN(10,$O91) + 2*MAX(0,MIN(10,$O91-10)) + 1*MAX(0,$O91-20))","=IF(ISBLANK($O91), """", $O91*30)"
Cefotaxime,IV,1–2 g IV q6–8h,q6–8h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O92), """", $O92*1.0)","=IF(ISBLANK($O92), """", $O92*1.5)","=IF(ISBLANK($O92), """", $O92*2.0)","=IF(ISBLANK($O92), """", 4*MIN(10,$O92) + 2*MAX(0,MIN(10,$O92-10)) + 1*MAX(0,$O92-20))","=IF(ISBLANK($O92), """", $O92*30)"
Gentamicin,IV,5–7 mg/kg IV q24h (extended‑interval),q24h,Neonate 4–5 mg/kg q24–48h (GA/PMa dependent),7.5 mg/kg/day divided q8h or extended-interval 5–7 mg/kg q24h,"5–7 mg/kg IV q24h (EI dosing, levels)",Same,Adjust by levels and CrCl; post-HD dosing,No adjustment,,,,,,"=IF(ISBLANK($O93), """", $O93*1.0)","=IF(ISBLANK($O93), """", $O93*1.5)","=IF(ISBLANK($O93), """", $O93*2.0)","=IF(ISBLANK($O93), """", 4*MIN(10,$O93) + 2*MAX(0,MIN(10,$O93-10)) + 1*MAX(0,$O93-20))","=IF(ISBLANK($O93), """", $O93*30)"
Tobramycin,IV,5–7 mg/kg IV q24h,q24h,—,—,5–7 mg/kg IV q24h (levels),Same,Adjust by levels/CrCl,No adjustment,,,,,,"=IF(ISBLANK($O94), """", $O94*1.0)","=IF(ISBLANK($O94), """", $O94*1.5)","=IF(ISBLANK($O94), """", $O94*2.0)","=IF(ISBLANK($O94), """", 4*MIN(10,$O94) + 2*MAX(0,MIN(10,$O94-10)) + 1*MAX(0,$O94-20))","=IF(ISBLANK($O94), """", $O94*30)"
Colistin (colistimethate),IV,2.5–5 mg/kg/day colistin base divided (specialist dosing),q8–12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O95), """", $O95*1.0)","=IF(ISBLANK($O95), """", $O95*1.5)","=IF(ISBLANK($O95), """", $O95*2.0)","=IF(ISBLANK($O95), """", 4*MIN(10,$O95) + 2*MAX(0,MIN(10,$O95-10)) + 1*MAX(0,$O95-20))","=IF(ISBLANK($O95), """", $O95*30)"
Filgrastim,SC,5 mcg/kg SC daily,Daily,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O96), """", $O96*1.0)","=IF(ISBLANK($O96), """", $O96*1.5)","=IF(ISBLANK($O96), """", $O96*2.0)","=IF(ISBLANK($O96), """", 4*MIN(10,$O96) + 2*MAX(0,MIN(10,$O96-10)) + 1*MAX(0,$O96-20))","=IF(ISBLANK($O96), """", $O96*30)"
Allopurinol,PO,100–300 mg PO q24h (TLS up to 800 mg/day),q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O97), """", $O97*1.0)","=IF(ISBLANK($O97), """", $O97*1.5)","=IF(ISBLANK($O97), """", $O97*2.0)","=IF(ISBLANK($O97), """", 4*MIN(10,$O97) + 2*MAX(0,MIN(10,$O97-10)) + 1*MAX(0,$O97-20))","=IF(ISBLANK($O97), """", $O97*30)"
Rasburicase,IV,0.1–0.2 mg/kg IV once daily (1–5 doses),Daily,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O98), """", $O98*1.0)","=IF(ISBLANK($O98), """", $O98*1.5)","=IF(ISBLANK($O98), """", $O98*2.0)","=IF(ISBLANK($O98), """", 4*MIN(10,$O98) + 2*MAX(0,MIN(10,$O98-10)) + 1*MAX(0,$O98-20))","=IF(ISBLANK($O98), """", $O98*30)"
Dexamethasone,"IV, PO",4–10 mg IV/PO q6–12h (varies by indication),q6–12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O99), """", $O99*1.0)","=IF(ISBLANK($O99), """", $O99*1.5)","=IF(ISBLANK($O99), """", $O99*2.0)","=IF(ISBLANK($O99), """", 4*MIN(10,$O99) + 2*MAX(0,MIN(10,$O99-10)) + 1*MAX(0,$O99-20))","=IF(ISBLANK($O99), """", $O99*30)"
Normal saline (0.9% NaCl),IV,"Bolus 500–1,000 mL; maintenance 75–150 mL/h",Continuous/bolus,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,"Bolus, Maintenance, Carrier","Choose: 10, 25, 50, 75, 100, 125, 150, 175, 200 mL/h",Wt-based: 30 mL/kg/day (≈1–2 mL/kg/h) or 1–1.5 mL/kg/h ICU target,4-2-1 rule: 4 mL/kg/h (first 10 kg) + 2 mL/kg/h (next 10 kg) + 1 mL/kg/h (each kg >20),,"=IF(ISBLANK($O100), """", $O100*1.0)","=IF(ISBLANK($O100), """", $O100*1.5)","=IF(ISBLANK($O100), """", $O100*2.0)","=IF(ISBLANK($O100), """", 4*MIN(10,$O100) + 2*MAX(0,MIN(10,$O100-10)) + 1*MAX(0,$O100-20))","=IF(ISBLANK($O100), """", $O100*30)"
Lactated Ringer’s,IV,"Bolus 500–1,000 mL; maintenance per need",Continuous/bolus,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,"Bolus, Maintenance, Carrier","Choose: 10, 25, 50, 75, 100, 125, 150, 175, 200 mL/h",Wt-based: 30 mL/kg/day (≈1–2 mL/kg/h) or 1–1.5 mL/kg/h ICU target,4-2-1 rule: 4 mL/kg/h (first 10 kg) + 2 mL/kg/h (next 10 kg) + 1 mL/kg/h (each kg >20),,"=IF(ISBLANK($O101), """", $O101*1.0)","=IF(ISBLANK($O101), """", $O101*1.5)","=IF(ISBLANK($O101), """", $O101*2.0)","=IF(ISBLANK($O101), """", 4*MIN(10,$O101) + 2*MAX(0,MIN(10,$O101-10)) + 1*MAX(0,$O101-20))","=IF(ISBLANK($O101), """", $O101*30)"
D5W,IV,Maintenance 50–125 mL/h,Continuous,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,"Bolus, Maintenance, Carrier","Choose: 10, 25, 50, 75, 100, 125, 150, 175, 200 mL/h",Wt-based: 30 mL/kg/day (≈1–2 mL/kg/h) or 1–1.5 mL/kg/h ICU target,4-2-1 rule: 4 mL/kg/h (first 10 kg) + 2 mL/kg/h (next 10 kg) + 1 mL/kg/h (each kg >20),,"=IF(ISBLANK($O102), """", $O102*1.0)","=IF(ISBLANK($O102), """", $O102*1.5)","=IF(ISBLANK($O102), """", $O102*2.0)","=IF(ISBLANK($O102), """", 4*MIN(10,$O102) + 2*MAX(0,MIN(10,$O102-10)) + 1*MAX(0,$O102-20))","=IF(ISBLANK($O102), """", $O102*30)"
D10W (hypoglycemia),IV,100–250 mL bolus; infusion per protocol,PRN/infusion,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,"Bolus, Maintenance, Carrier","Choose: 10, 25, 50, 75, 100, 125, 150, 175, 200 mL/h",Wt-based: 30 mL/kg/day (≈1–2 mL/kg/h) or 1–1.5 mL/kg/h ICU target,4-2-1 rule: 4 mL/kg/h (first 10 kg) + 2 mL/kg/h (next 10 kg) + 1 mL/kg/h (each kg >20),,"=IF(ISBLANK($O103), """", $O103*1.0)","=IF(ISBLANK($O103), """", $O103*1.5)","=IF(ISBLANK($O103), """", $O103*2.0)","=IF(ISBLANK($O103), """", 4*MIN(10,$O103) + 2*MAX(0,MIN(10,$O103-10)) + 1*MAX(0,$O103-20))","=IF(ISBLANK($O103), """", $O103*30)"
Tamsulosin,PO,0.4 mg PO q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O104), """", $O104*1.0)","=IF(ISBLANK($O104), """", $O104*1.5)","=IF(ISBLANK($O104), """", $O104*2.0)","=IF(ISBLANK($O104), """", 4*MIN(10,$O104) + 2*MAX(0,MIN(10,$O104-10)) + 1*MAX(0,$O104-20))","=IF(ISBLANK($O104), """", $O104*30)"
Oxybutynin,PO,5 mg PO q8–12h,q8–12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O105), """", $O105*1.0)","=IF(ISBLANK($O105), """", $O105*1.5)","=IF(ISBLANK($O105), """", $O105*2.0)","=IF(ISBLANK($O105), """", 4*MIN(10,$O105) + 2*MAX(0,MIN(10,$O105-10)) + 1*MAX(0,$O105-20))","=IF(ISBLANK($O105), """", $O105*30)"
Phenazopyridine,PO,100–200 mg PO q8h after meals,q8h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O106), """", $O106*1.0)","=IF(ISBLANK($O106), """", $O106*1.5)","=IF(ISBLANK($O106), """", $O106*2.0)","=IF(ISBLANK($O106), """", 4*MIN(10,$O106) + 2*MAX(0,MIN(10,$O106-10)) + 1*MAX(0,$O106-20))","=IF(ISBLANK($O106), """", $O106*30)"
Vancomycin (oral),PO,125–500 mg PO q6h (severity‑based),q6h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O107), """", $O107*1.0)","=IF(ISBLANK($O107), """", $O107*1.5)","=IF(ISBLANK($O107), """", $O107*2.0)","=IF(ISBLANK($O107), """", 4*MIN(10,$O107) + 2*MAX(0,MIN(10,$O107-10)) + 1*MAX(0,$O107-20))","=IF(ISBLANK($O107), """", $O107*30)"
Fidaxomicin,PO,200 mg PO q12h ×10 days,q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O108), """", $O108*1.0)","=IF(ISBLANK($O108), """", $O108*1.5)","=IF(ISBLANK($O108), """", $O108*2.0)","=IF(ISBLANK($O108), """", 4*MIN(10,$O108) + 2*MAX(0,MIN(10,$O108-10)) + 1*MAX(0,$O108-20))","=IF(ISBLANK($O108), """", $O108*30)"
Bezlotoxumab,IV,10 mg/kg IV once,Once,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O109), """", $O109*1.0)","=IF(ISBLANK($O109), """", $O109*1.5)","=IF(ISBLANK($O109), """", $O109*2.0)","=IF(ISBLANK($O109), """", 4*MIN(10,$O109) + 2*MAX(0,MIN(10,$O109-10)) + 1*MAX(0,$O109-20))","=IF(ISBLANK($O109), """", $O109*30)"
Fondaparinux (prophylaxis),SC,2.5 mg SC q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O110), """", $O110*1.0)","=IF(ISBLANK($O110), """", $O110*1.5)","=IF(ISBLANK($O110), """", $O110*2.0)","=IF(ISBLANK($O110), """", 4*MIN(10,$O110) + 2*MAX(0,MIN(10,$O110-10)) + 1*MAX(0,$O110-20))","=IF(ISBLANK($O110), """", $O110*30)"
Gabapentin,PO,100–300 mg PO q8h (titrate),q8h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O111), """", $O111*1.0)","=IF(ISBLANK($O111), """", $O111*1.5)","=IF(ISBLANK($O111), """", $O111*2.0)","=IF(ISBLANK($O111), """", 4*MIN(10,$O111) + 2*MAX(0,MIN(10,$O111-10)) + 1*MAX(0,$O111-20))","=IF(ISBLANK($O111), """", $O111*30)"
Pregabalin,PO,50–150 mg PO q12h,q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O112), """", $O112*1.0)","=IF(ISBLANK($O112), """", $O112*1.5)","=IF(ISBLANK($O112), """", $O112*2.0)","=IF(ISBLANK($O112), """", 4*MIN(10,$O112) + 2*MAX(0,MIN(10,$O112-10)) + 1*MAX(0,$O112-20))","=IF(ISBLANK($O112), """", $O112*30)"
Methocarbamol,"PO, IV","500–1,000 mg PO/IV q6–8h",q6–8h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O113), """", $O113*1.0)","=IF(ISBLANK($O113), """", $O113*1.5)","=IF(ISBLANK($O113), """", $O113*2.0)","=IF(ISBLANK($O113), """", 4*MIN(10,$O113) + 2*MAX(0,MIN(10,$O113-10)) + 1*MAX(0,$O113-20))","=IF(ISBLANK($O113), """", $O113*30)"
Melatonin,PO,3–10 mg PO HS,HS,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O114), """", $O114*1.0)","=IF(ISBLANK($O114), """", $O114*1.5)","=IF(ISBLANK($O114), """", $O114*2.0)","=IF(ISBLANK($O114), """", 4*MIN(10,$O114) + 2*MAX(0,MIN(10,$O114-10)) + 1*MAX(0,$O114-20))","=IF(ISBLANK($O114), """", $O114*30)"
Trazodone,PO,25–100 mg PO HS PRN,HS PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O115), """", $O115*1.0)","=IF(ISBLANK($O115), """", $O115*1.5)","=IF(ISBLANK($O115), """", $O115*2.0)","=IF(ISBLANK($O115), """", 4*MIN(10,$O115) + 2*MAX(0,MIN(10,$O115-10)) + 1*MAX(0,$O115-20))","=IF(ISBLANK($O115), """", $O115*30)"
Valproate (PO),PO,250–500 mg PO q8–12h (behavioral off‑label varies),q8–12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O116), """", $O116*1.0)","=IF(ISBLANK($O116), """", $O116*1.5)","=IF(ISBLANK($O116), """", $O116*2.0)","=IF(ISBLANK($O116), """", 4*MIN(10,$O116) + 2*MAX(0,MIN(10,$O116-10)) + 1*MAX(0,$O116-20))","=IF(ISBLANK($O116), """", $O116*30)"
Cefuroxime,IV,1.5 g IV q8h,q8h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O117), """", $O117*1.0)","=IF(ISBLANK($O117), """", $O117*1.5)","=IF(ISBLANK($O117), """", $O117*2.0)","=IF(ISBLANK($O117), """", 4*MIN(10,$O117) + 2*MAX(0,MIN(10,$O117-10)) + 1*MAX(0,$O117-20))","=IF(ISBLANK($O117), """", $O117*30)"
Cefoxitin,IV,1–2 g IV q6–8h,q6–8h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O118), """", $O118*1.0)","=IF(ISBLANK($O118), """", $O118*1.5)","=IF(ISBLANK($O118), """", $O118*2.0)","=IF(ISBLANK($O118), """", 4*MIN(10,$O118) + 2*MAX(0,MIN(10,$O118-10)) + 1*MAX(0,$O118-20))","=IF(ISBLANK($O118), """", $O118*30)"
Vasopressin,IV,0.01–0.04 units/min,Continuous,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O119), """", $O119*1.0)","=IF(ISBLANK($O119), """", $O119*1.5)","=IF(ISBLANK($O119), """", $O119*2.0)","=IF(ISBLANK($O119), """", 4*MIN(10,$O119) + 2*MAX(0,MIN(10,$O119-10)) + 1*MAX(0,$O119-20))","=IF(ISBLANK($O119), """", $O119*30)"
Methylene blue,IV,1–2 mg/kg IV over 20–60 min (refractory vasoplegia),Once +/- repeat,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O120), """", $O120*1.0)","=IF(ISBLANK($O120), """", $O120*1.5)","=IF(ISBLANK($O120), """", $O120*2.0)","=IF(ISBLANK($O120), """", 4*MIN(10,$O120) + 2*MAX(0,MIN(10,$O120-10)) + 1*MAX(0,$O120-20))","=IF(ISBLANK($O120), """", $O120*30)"
Hydrocortisone (septic shock),IV,50 mg IV q6h,q6h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O121), """", $O121*1.0)","=IF(ISBLANK($O121), """", $O121*1.5)","=IF(ISBLANK($O121), """", $O121*2.0)","=IF(ISBLANK($O121), """", 4*MIN(10,$O121) + 2*MAX(0,MIN(10,$O121-10)) + 1*MAX(0,$O121-20))","=IF(ISBLANK($O121), """", $O121*30)"
Diphenhydramine,"IV, PO",25–50 mg IV/PO q6h PRN,q6h PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O122), """", $O122*1.0)","=IF(ISBLANK($O122), """", $O122*1.5)","=IF(ISBLANK($O122), """", $O122*2.0)","=IF(ISBLANK($O122), """", 4*MIN(10,$O122) + 2*MAX(0,MIN(10,$O122-10)) + 1*MAX(0,$O122-20))","=IF(ISBLANK($O122), """", $O122*30)"
Cetirizine,PO,10 mg PO q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O123), """", $O123*1.0)","=IF(ISBLANK($O123), """", $O123*1.5)","=IF(ISBLANK($O123), """", $O123*2.0)","=IF(ISBLANK($O123), """", 4*MIN(10,$O123) + 2*MAX(0,MIN(10,$O123-10)) + 1*MAX(0,$O123-20))","=IF(ISBLANK($O123), """", $O123*30)"
Montelukast,PO,10 mg PO q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O124), """", $O124*1.0)","=IF(ISBLANK($O124), """", $O124*1.5)","=IF(ISBLANK($O124), """", $O124*2.0)","=IF(ISBLANK($O124), """", 4*MIN(10,$O124) + 2*MAX(0,MIN(10,$O124-10)) + 1*MAX(0,$O124-20))","=IF(ISBLANK($O124), """", $O124*30)"
Budesonide (neb),INH,0.5–1 mg neb q12h,q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O125), """", $O125*1.0)","=IF(ISBLANK($O125), """", $O125*1.5)","=IF(ISBLANK($O125), """", $O125*2.0)","=IF(ISBLANK($O125), """", 4*MIN(10,$O125) + 2*MAX(0,MIN(10,$O125-10)) + 1*MAX(0,$O125-20))","=IF(ISBLANK($O125), """", $O125*30)"
Formoterol (neb),INH,20 mcg neb q12h,q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O126), """", $O126*1.0)","=IF(ISBLANK($O126), """", $O126*1.5)","=IF(ISBLANK($O126), """", $O126*2.0)","=IF(ISBLANK($O126), """", 4*MIN(10,$O126) + 2*MAX(0,MIN(10,$O126-10)) + 1*MAX(0,$O126-20))","=IF(ISBLANK($O126), """", $O126*30)"
Regular insulin (IV),IV,0.05–0.1 units/kg/h infusion (DKA),Continuous,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O127), """", $O127*1.0)","=IF(ISBLANK($O127), """", $O127*1.5)","=IF(ISBLANK($O127), """", $O127*2.0)","=IF(ISBLANK($O127), """", 4*MIN(10,$O127) + 2*MAX(0,MIN(10,$O127-10)) + 1*MAX(0,$O127-20))","=IF(ISBLANK($O127), """", $O127*30)"
Phosphate (KPhos/NaPhos),IV,15–30 mmol IV over 2–6 h,Per dose,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O128), """", $O128*1.0)","=IF(ISBLANK($O128), """", $O128*1.5)","=IF(ISBLANK($O128), """", $O128*2.0)","=IF(ISBLANK($O128), """", 4*MIN(10,$O128) + 2*MAX(0,MIN(10,$O128-10)) + 1*MAX(0,$O128-20))","=IF(ISBLANK($O128), """", $O128*30)"
Voriconazole,"IV, PO",4 mg/kg IV/PO q12h after 6 mg/kg ×2 load,q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O129), """", $O129*1.0)","=IF(ISBLANK($O129), """", $O129*1.5)","=IF(ISBLANK($O129), """", $O129*2.0)","=IF(ISBLANK($O129), """", 4*MIN(10,$O129) + 2*MAX(0,MIN(10,$O129-10)) + 1*MAX(0,$O129-20))","=IF(ISBLANK($O129), """", $O129*30)"
Amphotericin B (liposomal),IV,3–5 mg/kg IV q24h,q24h,—,3–5 mg/kg q24h,3–5 mg/kg q24h,Same,No adjustment (nephrotoxic—monitor),No adjustment,,,,,,"=IF(ISBLANK($O130), """", $O130*1.0)","=IF(ISBLANK($O130), """", $O130*1.5)","=IF(ISBLANK($O130), """", $O130*2.0)","=IF(ISBLANK($O130), """", 4*MIN(10,$O130) + 2*MAX(0,MIN(10,$O130-10)) + 1*MAX(0,$O130-20))","=IF(ISBLANK($O130), """", $O130*30)"
Isoniazid,PO,300 mg PO q24h,q24h,—,—,10–15 mg/kg q24h (max 300 mg) + pyridoxine,Same,No adjustment,Use caution/monitor LFTs; avoid severe hepatic disease,,,,,,"=IF(ISBLANK($O131), """", $O131*1.0)","=IF(ISBLANK($O131), """", $O131*1.5)","=IF(ISBLANK($O131), """", $O131*2.0)","=IF(ISBLANK($O131), """", 4*MIN(10,$O131) + 2*MAX(0,MIN(10,$O131-10)) + 1*MAX(0,$O131-20))","=IF(ISBLANK($O131), """", $O131*30)"
Rifampin,PO,600 mg PO q24h,q24h,—,—,10–20 mg/kg q24h (max 600 mg),Same,No adjustment,Avoid severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O132), """", $O132*1.0)","=IF(ISBLANK($O132), """", $O132*1.5)","=IF(ISBLANK($O132), """", $O132*2.0)","=IF(ISBLANK($O132), """", 4*MIN(10,$O132) + 2*MAX(0,MIN(10,$O132-10)) + 1*MAX(0,$O132-20))","=IF(ISBLANK($O132), """", $O132*30)"
